messageId,camId,timestamp,latitude,longitude,heading,speed,acceleration
2,13,26340,8,166.574,270,14.38,-1.1
2,1,26440,-8,-147.149,90,15.27,0.2
2,13,26640,8,162.255,270,14.4,0.7
2,1,26740,-8,-142.564,90,15.27,-0.9
2,13,26940,8,157.937,270,14.39,0.2
2,1,27040,-8,-137.98,90,15.27,0.2
2,13,27240,8,153.618,270,14.4,0
2,1,27340,-8,-133.396,90,15.27,0.2
2,13,27540,8,149.299,270,14.39,-0.5
2,1,27640,-8,-128.812,90,15.27,0.3
2,13,27840,8,144.98,270,14.39,-1.1
2,1,27940,-8,-124.227,90,15.27,-0.9
2,13,28140,8,140.662,270,14.39,0
2,1,28240,-8,-119.643,90,15.28,0.6
2,3,28244,-1.6,-179.258,90,16.72,0.4
2,13,28440,8,136.343,270,14.39,0.5
2,1,28540,-8,-115.059,90,15.27,0.3
2,3,28544,-1.6,-174.24,90,16.71,-0.7
2,13,28740,8,132.025,270,14.39,0.2
2,1,28840,-8,-110.475,90,15.28,0.3
2,3,28844,-1.6,-169.223,90,16.72,-0.5
2,13,29040,8,127.706,270,14.39,0.2
2,1,29140,-8,-105.89,90,15.28,-0.1
2,3,29144,-1.6,-164.206,90,16.72,0.2
2,13,29340,8,123.387,270,14.39,-0.7
2,1,29440,-8,-101.306,90,15.28,0
2,3,29444,-1.6,-159.188,90,16.72,0
2,2,29535,-8,-179.394,90,13.31,0.5
2,13,29640,8,119.068,270,14.38,-0.8
2,1,29740,-8,-96.7212,90,15.27,-0.7
2,3,29744,-1.6,-154.171,90,16.72,0
2,2,29935,-8,-174.069,90,13.3,0
2,13,29940,8,114.749,270,14.39,0
2,1,30040,-8,-92.137,90,15.27,0.3
2,3,30044,-1.6,-149.154,90,16.72,0.1
2,13,30240,8,110.43,270,14.39,0.4
2,2,30335,-8,-168.744,90,13.31,0.3
2,1,30340,-8,-87.553,90,15.28,0.1
2,3,30344,-1.6,-144.137,90,16.72,-0.7
2,13,30540,8,106.111,270,14.39,-0.1
2,7,30540,89.4387,-8,180,15.1,0
2,3,30644,-1.6,-139.12,90,16.71,-0.4
