timestep_time,edge_id,lane_id,vehicle_id,vehicle_pos,vehicle_speed
19.00,1to0,1to0_2,flow0.5,67.10,16.56
19.00,2to0,2to0_0,flow1.5,5.10,0.00
19.00,2to0,2to0_0,flow1.4,13.62,4.50
19.00,2to0,2to0_0,flow1.3,52.46,9.18
19.00,2to0,2to0_0,flow1.0,152.01,8.34
19.00,2to0,2to0_1,flow1.2,83.12,7.74
19.00,2to0,2to0_2,flow1.1,183.59,19.43
19.00,3to0,3to0_0,flow2.6,7.10,0.00
19.00,3to0,3to0_0,flow2.4,23.88,5.34
19.00,3to0,3to0_0,flow2.3,50.21,8.80
19.00,3to0,3to0_0,flow2.2,81.99,9.75
19.00,3to0,3to0_0,flow2.0,137.67,9.09
19.00,3to0,3to0_1,flow2.5,10.52,4.14
19.00,3to0,3to0_2,flow2.1,196.98,17.51
19.00,4to0,4to0_0,flow3.7,3.76,0.66
19.00,4to0,4to0_0,flow3.6,15.75,5.05
19.00,4to0,4to0_0,flow3.4,67.14,7.20
19.00,4to0,4to0_0,flow3.0,139.58,7.55
19.00,4to0,4to0_1,flow3.5,45.57,8.97
19.00,4to0,4to0_1,flow3.3,75.33,7.32
19.00,4to0,4to0_1,flow3.2,106.48,5.32
19.00,4to0,4to0_1,flow3.1,125.32,9.94
19.00,4to0,4to0_2,,,
20.00,1to0,1to0_0,flow0.6,9.25,2.47
20.00,1to0,1to0_0,flow0.4,65.03,7.65
20.00,1to0,1to0_0,flow0.0,154.34,8.15
20.00,1to0,1to0_1,flow0.3,72.78,7.41
20.00,1to0,1to0_1,flow0.2,94.66,9.48
20.00,1to0,1to0_1,flow0.1,121.19,8.57
20.00,1to0,1to0_2,flow0.5,83.77,16.67
20.00,2to0,2to0_0,flow1.5,8.07,2.97
20.00,2to0,2to0_0,flow1.4,18.13,4.51
20.00,2to0,2to0_0,flow1.3,59.44,6.98
20.00,2to0,2to0_1,flow1.2,91.76,8.63
20.00,2to0,2to0_1,flow1.0,160.61,8.61
20.00,2to0,2to0_2,flow1.1,200.82,17.23
20.00,3to0,3to0_0,flow2.6,10.10,3.00
20.00,3to0,3to0_0,flow2.4,31.02,7.14
20.00,3to0,3to0_0,flow2.3,59.19,8.98
20.00,3to0,3to0_0,flow2.2,91.47,9.49
20.00,3to0,3to0_0,flow2.0,144.56,6.89
20.00,3to0,3to0_1,flow2.5,16.56,6.04
20.00,3to0,3to0_2,flow2.1,216.50,19.52
20.00,4to0,4to0_0,flow3.7,4.55,0.79
20.00,4to0,4to0_0,flow3.6,22.21,6.46
20.00,4to0,4to0_0,flow3.4,75.67,8.53
20.00,4to0,4to0_0,flow3.0,148.26,8.68
20.00,4to0,4to0_1,flow3.5,52.85,7.28
20.00,4to0,4to0_1,flow3.3,83.92,8.59
20.00,4to0,4to0_1,flow3.1,133.66,8.34
20.00,4to0,4to0_2,flow3.2,114.78,8.30
21.00,1to0,1to0_0,flow0.7,5.10,0.00
21.00,1to0,1to0_0,flow0.6,13.55,4.30
21.00,1to0,1to0_0,flow0.4,76.76,11.74
21.00,1to0,1to0_0,flow0.0,160.85,6.51
21.00,1to0,1to0_1,flow0.3,81.18,8.40
21.00,1to0,1to0_1,flow0.2,103.82,9.16
21.00,1to0,1to0_1,flow0.1,128.87,7.68
21.00,1to0,1to0_2,flow0.5,100.79,17.02
21.00,2to0,2to0_0,flow1.6,3.10,0.00
21.00,2to0,2to0_0,flow1.4,23.75,5.62
21.00,2to0,2to0_0,flow1.3,66.82,7.38
21.00,2to0,2to0_1,flow1.5,12.23,4.16
21.00,2to0,2to0_1,flow1.2,99.36,7.61
21.00,2to0,2to0_1,flow1.0,168.85,8.24
21.00,2to0,2to0_2,flow1.1,219.32,18.50
21.00,3to0,3to0_0,flow2.6,13.20,3.10
21.00,3to0,3to0_0,flow2.4,38.27,7.25
21.00,3to0,3to0_0,flow2.3,67.96,8.78
21.00,3to0,3to0_0,flow2.2,101.15,9.67
21.00,3to0,3to0_0,flow2.0,153.64,9.08
21.00,3to0,3to0_1,flow2.5,25.45,8.88
21.00,3to0,3to0_2,flow2.1,234.32,17.81
21.00,4to0,4to0_0,flow3.7,5.70,1.15
21.00,4to0,4to0_0,flow3.6,29.66,7.44
21.00,4to0,4to0_0,flow3.4,82.49,6.82
21.00,4to0,4to0_0,flow3.0,156.35,8.09
21.00,4to0,4to0_1,flow3.5,61.02,8.17
21.00,4to0,4to0_1,flow3.3,92.94,9.02
21.00,4to0,4to0_1,flow3.1,142.42,8.76
21.00,4to0,4to0_2,flow3.2,123.44,8.65
22.00,1to0,1to0_0,flow0.7,5.19,0.09
22.00,1to0,1to0_0,flow0.6,18.23,4.68
22.00,1to0,1to0_0,flow0.4,91.34,14.58
22.00,1to0,1to0_0,flow0.0,168.77,7.92
22.00,1to0,1to0_1,flow0.2,113.20,9.39
22.00,1to0,1to0_1,flow0.1,136.84,7.97
22.00,1to0,1to0_2,flow0.3,88.75,7.57
22.00,1to0,1to0_2,flow0.5,120.37,19.58
22.00,2to0,2to0_0,flow1.6,3.62,0.52
22.00,2to0,2to0_0,flow1.4,31.66,7.92
22.00,2to0,2to0_0,flow1.3,73.13,6.32
22.00,2to0,2to0_0,flow1.2,106.11,6.74
22.00,2to0,2to0_1,flow1.5,16.47,4.23
22.00,2to0,2to0_1,flow1.0,177.96,9.12
22.00,2to0,2to0_2,flow1.1,237.90,18.58
22.00,3to0,3to0_0,flow2.7,7.10,0.00
22.00,3to0,3to0_0,flow2.6,17.41,4.21
22.00,3to0,3to0_0,flow2.4,47.03,8.76
22.00,3to0,3to0_0,flow2.3,77.48,9.52
22.00,3to0,3to0_0,flow2.2,109.26,8.12
22.00,3to0,3to0_0,flow2.0,162.53,8.88
22.00,3to0,3to0_1,flow2.5,34.81,9.36
22.00,3to0,3to0_2,flow2.1,249.93,15.61
22.00,4to0,4to0_0,flow3.7,6.99,1.29
22.00,4to0,4to0_0,flow3.6,37.75,8.09
22.00,4to0,4to0_0,flow3.4,89.17,6.69
22.00,4to0,4to0_0,flow3.0,162.60,6.25
22.00,4to0,4to0_1,flow3.5,70.09,9.07
22.00,4to0,4to0_1,flow3.3,99.76,6.82
22.00,4to0,4to0_1,flow3.1,151.83,9.42
22.00,4to0,4to0_2,flow3.2,133.70,10.27
23.00,1to0,1to0_0,flow0.7,8.08,2.89
23.00,1to0,1to0_0,flow0.6,23.93,5.70
23.00,1to0,1to0_0,flow0.4,107.23,15.89
23.00,1to0,1to0_0,flow0.0,175.75,6.98
23.00,1to0,1to0_1,flow0.2,122.18,8.97
23.00,1to0,1to0_1,flow0.1,144.42,7.58
23.00,1to0,1to0_2,flow0.3,97.83,9.08
23.00,1to0,1to0_2,flow0.5,137.74,17.38
23.00,2to0,2to0_0,flow1.6,6.46,2.84
23.00,2to0,2to0_0,flow1.4,40.50,8.84
23.00,2to0,2to0_0,flow1.3,81.99,8.86
23.00,2to0,2to0_0,flow1.2,114.13,8.02
23.00,2to0,2to0_1,flow1.5,20.86,4.39
23.00,2to0,2to0_1,flow1.0,185.67,7.70
23.00,2to0,2to0_2,flow1.1,254.98,17.08
23.00,3to0,3to0_0,flow2.7,8.21,1.11
23.00,3to0,3to0_0,flow2.6,25.21,7.80
23.00,3to0,3to0_0,flow2.4,53.83,6.80
23.00,3to0,3to0_0,flow2.3,87.36,9.88
23.00,3to0,3to0_0,flow2.2,119.00,9.73
23.00,3to0,3to0_0,flow2.0,170.11,7.58
23.00,3to0,3to0_1,flow2.5,43.77,8.97
23.00,3to0,3to0_2,flow2.1,269.88,19.95
23.00,4to0,4to0_0,flow3.7,8.36,1.37
23.00,4to0,4to0_0,flow3.6,47.31,9.57
23.00,4to0,4to0_0,flow3.4,97.53,8.36
23.00,4to0,4to0_0,flow3.0,170.55,7.95
23.00,4to0,4to0_1,flow3.5,79.35,9.26
23.00,4to0,4to0_1,flow3.3,108.19,8.43
23.00,4to0,4to0_1,flow3.1,161.41,9.58
23.00,4to0,4to0_2,flow3.2,145.75,12.04
24.00,1to0,1to0_0,flow0.7,12.09,4.01
24.00,1to0,1to0_0,flow0.6,30.97,7.04
24.00,1to0,1to0_0,flow0.4,121.23,14.00
24.00,1to0,1to0_0,flow0.0,182.67,6.92
24.00,1to0,1to0_1,flow0.2,131.14,8.96
24.00,1to0,1to0_1,flow0.1,153.90,9.48
24.00,1to0,1to0_2,flow0.3,107.08,9.25
24.00,1to0,1to0_2,flow0.5,154.34,16.60
24.00,2to0,2to0_0,flow1.6,11.22,4.76
24.00,2to0,2to0_0,flow1.4,50.12,9.61
24.00,2to0,2to0_0,flow1.3,90.66,8.67
24.00,2to0,2to0_1,flow1.5,25.53,4.67
